id,difficulty,answer,clue,prompt,start_letters,explanation
542,hard,BELLICOSE,aggressive or warlike,WARLIKE,9,BELLICOSE from WARLIKE. Both mean aggressive.
543,hard,CAPRICIOUS,changing suddenly,FICKLE,10,CAPRICIOUS from FICKLE. Both mean unpredictable.
544,hard,DELETERIOUS,causing damage,HARMFUL,11,DELETERIOUS from HARMFUL. Both mean damaging.
545,hard,ENERVATE,to drain strength,WEAKEN,8,ENERVATE from WEAKEN. Both mean weaken.
546,hard,FASTIDIOUS,very attentive to detail,METICULOUS,10,FASTIDIOUS from METICULOUS. Both mean careful.
547,hard,GREGARIOUS,fond of company,SOCIABLE,10,GREGARIOUS from SOCIABLE. Both mean outgoing.
548,hard,HACKNEYED,overused and dull,TRITE,9,HACKNEYED from TRITE. Both mean unoriginal.
549,hard,LACONIC,using few words,TERSE,7,LACONIC from TERSE. Both mean brief in speech.
550,hard,PARSIMONIOUS,unwilling to spend,STINGY,12,PARSIMONIOUS from STINGY. Both mean miserly.
551,hard,ABSTRUSE,hard to understand,OBSCURE,8,ABSTRUSE from OBSCURE. Both mean difficult to understand.
552,hard,BELLICOSE,aggressive or warlike,WARLIKE,9,BELLICOSE from WARLIKE. Both mean aggressive.
553,hard,CAPRICIOUS,changing suddenly,FICKLE,10,CAPRICIOUS from FICKLE. Both mean unpredictable.
554,hard,DELETERIOUS,causing damage,HARMFUL,11,DELETERIOUS from HARMFUL. Both mean damaging.
555,hard,ENERVATE,to drain strength,WEAKEN,8,ENERVATE from WEAKEN. Both mean weaken.
556,hard,FASTIDIOUS,very attentive to detail,METICULOUS,10,FASTIDIOUS from METICULOUS. Both mean careful.
557,hard,GREGARIOUS,fond of company,SOCIABLE,10,GREGARIOUS from SOCIABLE. Both mean outgoing.
558,hard,HACKNEYED,overused and dull,TRITE,9,HACKNEYED from TRITE. Both mean unoriginal.
559,hard,LACONIC,using few words,TERSE,7,LACONIC from TERSE. Both mean brief in speech.
560,hard,PARSIMONIOUS,unwilling to spend,STINGY,12,PARSIMONIOUS from STINGY. Both mean miserly.
561,hard,ABSTRUSE,hard to understand,OBSCURE,8,ABSTRUSE from OBSCURE. Both mean difficult to understand.
562,hard,BELLICOSE,aggressive or warlike,WARLIKE,9,BELLICOSE from WARLIKE. Both mean aggressive.
563,hard,CAPRICIOUS,changing suddenly,FICKLE,10,CAPRICIOUS from FICKLE. Both mean unpredictable.
564,hard,DELETERIOUS,causing damage,HARMFUL,11,DELETERIOUS from HARMFUL. Both mean damaging.
565,hard,ENERVATE,to drain strength,WEAKEN,8,ENERVATE from WEAKEN. Both mean weaken.
566,hard,FASTIDIOUS,very attentive to detail,METICULOUS,10,FASTIDIOUS from METICULOUS. Both mean careful.
567,hard,GREGARIOUS,fond of company,SOCIABLE,10,GREGARIOUS from SOCIABLE. Both mean outgoing.
568,hard,HACKNEYED,overused and dull,TRITE,9,HACKNEYED from TRITE. Both mean unoriginal.
569,hard,LACONIC,using few words,TERSE,7,LACONIC from TERSE. Both mean brief in speech.
570,hard,PARSIMONIOUS,unwilling to spend,STINGY,12,PARSIMONIOUS from STINGY. Both mean miserly.
571,hard,ABSTRUSE,hard to understand,OBSCURE,8,ABSTRUSE from OBSCURE. Both mean difficult to understand.
572,hard,BELLICOSE,aggressive or warlike,WARLIKE,9,BELLICOSE from WARLIKE. Both mean aggressive.
573,hard,CAPRICIOUS,changing suddenly,FICKLE,10,CAPRICIOUS from FICKLE. Both mean unpredictable.
574,hard,DELETERIOUS,causing damage,HARMFUL,11,DELETERIOUS from HARMFUL. Both mean damaging.
575,hard,ENERVATE,to drain strength,WEAKEN,8,ENERVATE from WEAKEN. Both mean weaken.
576,hard,FASTIDIOUS,very attentive to detail,METICULOUS,10,FASTIDIOUS from METICULOUS. Both mean careful.
577,hard,GREGARIOUS,fond of company,SOCIABLE,10,GREGARIOUS from SOCIABLE. Both mean outgoing.
578,hard,HACKNEYED,overused and dull,TRITE,9,HACKNEYED from TRITE. Both mean unoriginal.
579,hard,LACONIC,using few words,TERSE,7,LACONIC from TERSE. Both mean brief in speech.
580,hard,PARSIMONIOUS,unwilling to spend,STINGY,12,PARSIMONIOUS from STINGY. Both mean miserly.
581,hard,ABSTRUSE,hard to understand,OBSCURE,8,ABSTRUSE from OBSCURE. Both mean difficult to understand.
582,hard,BELLICOSE,aggressive or warlike,WARLIKE,9,BELLICOSE from WARLIKE. Both mean aggressive.
583,hard,CAPRICIOUS,changing suddenly,FICKLE,10,CAPRICIOUS from FICKLE. Both mean unpredictable.
584,hard,DELETERIOUS,causing damage,HARMFUL,11,DELETERIOUS from HARMFUL. Both mean damaging.
585,hard,ENERVATE,to drain strength,WEAKEN,8,ENERVATE from WEAKEN. Both mean weaken.
586,hard,FASTIDIOUS,very attentive to detail,METICULOUS,10,FASTIDIOUS from METICULOUS. Both mean careful.
587,hard,GREGARIOUS,fond of company,SOCIABLE,10,GREGARIOUS from SOCIABLE. Both mean outgoing.
588,hard,HACKNEYED,overused and dull,TRITE,9,HACKNEYED from TRITE. Both mean unoriginal.
589,hard,LACONIC,using few words,TERSE,7,LACONIC from TERSE. Both mean brief in speech.
590,hard,PARSIMONIOUS,unwilling to spend,STINGY,12,PARSIMONIOUS from STINGY. Both mean miserly.
591,hard,ABSTRUSE,hard to understand,OBSCURE,8,ABSTRUSE from OBSCURE. Both mean difficult to understand.
592,hard,BELLICOSE,aggressive or warlike,WARLIKE,9,BELLICOSE from WARLIKE. Both mean aggressive.
593,hard,CAPRICIOUS,changing suddenly,FICKLE,10,CAPRICIOUS from FICKLE. Both mean unpredictable.
594,hard,DELETERIOUS,causing damage,HARMFUL,11,DELETERIOUS from HARMFUL. Both mean damaging.
595,hard,ENERVATE,to drain strength,WEAKEN,8,ENERVATE from WEAKEN. Both mean weaken.
596,hard,FASTIDIOUS,very attentive to detail,METICULOUS,10,FASTIDIOUS from METICULOUS. Both mean careful.
597,hard,GREGARIOUS,fond of company,SOCIABLE,10,GREGARIOUS from SOCIABLE. Both mean outgoing.
598,hard,HACKNEYED,overused and dull,TRITE,9,HACKNEYED from TRITE. Both mean unoriginal.
599,hard,LACONIC,using few words,TERSE,7,LACONIC from TERSE. Both mean brief in speech.
600,hard,PARSIMONIOUS,unwilling to spend,STINGY,12,PARSIMONIOUS from STINGY. Both mean miserly.
